geoid,lat,lon
100050501013,38.899349,-75.4563588
100050510111,38.7290531,-75.1877342
100050514002,38.4663272,-75.1926062
100050507071,38.627675,-75.1844602
100050501054,38.8430007,-75.3865401
100050503022,38.8224475,-75.5290254
100050506041,38.557609,-75.3075115
100030136141,39.7161896,-75.6671131
100010422062,39.0283313,-75.5284226
100050509031,38.767496,-75.1572747
100010407003,39.1634668,-75.5510285
100010412001,39.1268683,-75.5021835
100010405012,39.1958547,-75.5404198
100010412002,39.1342666,-75.5128773
100030136042,39.7268378,-75.6790739
100050517013,38.5882093,-75.4890191
100030006021,39.7538917,-75.5342206
100030136101,39.7193426,-75.7379314
100030147062,39.6424858,-75.7250108
100030125002,39.733313,-75.5830444
100030166081,39.5324362,-75.604004
100030135014,39.7731429,-75.6483537
100030149033,39.6290471,-75.7006274
100010410002,39.1613941,-75.506668
100030025001,39.7410221,-75.571391
100030025002,39.7403659,-75.5784548
100030136123,39.7508308,-75.6958076
100050518021,38.5402729,-75.5633984
100030136133,39.7433309,-75.6688008
100030156001,39.7007292,-75.5675098
100050519002,38.4817793,-75.5643208
100050519001,38.4918438,-75.6391008
100050501052,38.8727642,-75.4022885
100050508011,38.808122,-75.3171374
100030109002,39.7884811,-75.5145668
100050512011,38.5853968,-75.0730533
100030139013,39.6691148,-75.6852934
100030139032,39.6436587,-75.6889863
100030149061,39.647323,-75.670922
100059900000,38.7863315,-75.1109628
100030139061,39.663524,-75.6705735
100030101063,39.8206668,-75.4581889
100050515021,38.5742589,-75.224855
100050508061,38.7483459,-75.2758151
100050509053,38.7838196,-75.2040925
100050509054,38.8190722,-75.2468461
100050505062,38.6620107,-75.3274707
100050510092,38.718959,-75.1064371
100050508052,38.7471725,-75.3117768
100050510131,38.6645983,-75.2044948
100050508042,38.7088276,-75.2269928
100050513082,38.5467243,-75.1802523
100030134002,39.7411724,-75.6550162
100030134003,39.7349599,-75.6627313
100030166122,39.4673646,-75.6923102
100030152002,39.6914452,-75.5868043
100050513101,38.4856642,-75.1190491
100050513121,38.4659565,-75.1058686
100030150003,39.6662176,-75.643824
100030151001,39.6814879,-75.5813108
100050518012,38.5816064,-75.6096304
100030133002,39.7264225,-75.6641709
100030148101,39.5663603,-75.7229782
100010417014,39.098268,-75.564258
100030163082,39.6202119,-75.6126437
100030148094,39.6094384,-75.6968919
100010418023,39.1436773,-75.6176083
100010418041,39.1635578,-75.5645632
100030015001,39.7510948,-75.5589765
100030148031,39.6465498,-75.7674904
100030163071,39.6188596,-75.6553471
100030166113,39.514133,-75.6619115
100030166103,39.4461583,-75.7578101
100030110001,39.7806512,-75.4956173
100050508013,38.7892425,-75.2875196
100050510172,38.6906459,-75.1182033
100050510091,38.7511357,-75.113765
100050510093,38.7293587,-75.0973678
100050513083,38.5669517,-75.1745407
100050514003,38.4823068,-75.2212756
100050502003,38.8032054,-75.3893594
100050508041,38.7032218,-75.278446
100050510152,38.6883231,-75.1543449
100050510121,38.6810306,-75.1736061
100050510122,38.6663907,-75.168343
100050510141,38.6584372,-75.1497738
100050507092,38.6518914,-75.1693615
100030016002,39.7448316,-75.5537764
100030119003,39.7773045,-75.6272645
100030169011,39.3388351,-75.654991
100030144022,39.6652283,-75.7615003
100030164014,39.5524354,-75.6881906
100030143023,39.6920708,-75.7589456
100050512021,38.5482544,-75.0712511
100030168085,39.4384009,-75.6534546
100030101051,39.8119716,-75.4481731
100030116001,39.7856124,-75.5422935
100030135061,39.7584578,-75.7464905
100030149094,39.6553212,-75.6228743
100030148111,39.5629812,-75.7641191
100030166121,39.4901923,-75.7056848
100030148095,39.5986127,-75.6986236
100030101042,39.7912136,-75.4680148
100030102001,39.8085941,-75.4658735
100030102002,39.8089635,-75.4710748
100030125006,39.726009,-75.6007575
100030125003,39.7312694,-75.59286
100030147053,39.6668366,-75.7050296
100010429001,38.8858845,-75.541377
100010430001,38.9354841,-75.5936875
100030103002,39.8004757,-75.4657756
100010431002,38.8623992,-75.6539574
100010421001,39.0609261,-75.6062286
100010434002,38.9194976,-75.4726046
100010425002,38.9153301,-75.4379157
100030164011,39.5757268,-75.6775431
100030164042,39.5808021,-75.5991928
100030164043,39.5685386,-75.5973999
100030019022,39.7305385,-75.5514642
100030004002,39.7566257,-75.5438512
100030152001,39.6951761,-75.5833152
100030152003,39.6858075,-75.5897421
100030136153,39.7066798,-75.6649217
100030109003,39.7817059,-75.512438
100030148092,39.5837305,-75.7024458
100030148103,39.5989516,-75.7204122
100030148083,39.6155392,-75.709117
100030003003,39.762529,-75.5398567
100030004001,39.7615176,-75.5457578
100030101041,39.7984764,-75.4471498
100050511031,38.6979115,-75.089005
100050512051,38.4852419,-75.0558618
100010422052,39.0722361,-75.5447004
100010422041,39.057734,-75.5216678
100030112032,39.8252818,-75.4813143
100030023002,39.7469536,-75.5687973
100030024001,39.7529556,-75.5737203
100030024003,39.7502607,-75.5768725
100030026003,39.7414085,-75.5645914
100030149032,39.6246994,-75.6939781
100030118001,39.8067883,-75.6420346
100030108003,39.7724314,-75.5321894
100050511013,38.7182492,-75.0855904
100030004003,39.7581984,-75.5503441
100010422061,39.0432436,-75.5284893
100030166092,39.5206966,-75.7325783
100030164013,39.592683,-75.6672976
100050518022,38.5406205,-75.5731476
100050505032,38.729406,-75.3881859
100030107043,39.7555705,-75.51162
100030168081,39.4093625,-75.6352902
100030022001,39.745647,-75.562763
100030023003,39.7480785,-75.5715448
100030144041,39.6750812,-75.7833289
100010402031,39.2923461,-75.5507208
100010405021,39.2244395,-75.5368215
100010432021,39.2315415,-75.4531724
100030114001,39.8009151,-75.5106761
100030135052,39.7594837,-75.7138997
100030136041,39.7188469,-75.6881665
100030159001,39.6932965,-75.5610346
100030160001,39.6777453,-75.5707548
100030161001,39.6720828,-75.5610204
100030135081,39.7879333,-75.7110809
100030166112,39.5321734,-75.7141313
100030139063,39.6550106,-75.6906853
100039801001,39.7318317,-75.5148825
100050510082,38.7323241,-75.1191109
100030127005,39.7130876,-75.6117337
100010407002,39.1707566,-75.5541052
100030148121,39.5895114,-75.7778411
100030148132,39.628592,-75.7533503
100030103003,39.8053905,-75.4607159
100030149036,39.6307959,-75.6823153
100030107031,39.7589483,-75.5003098
100030003002,39.7580418,-75.5398129
100050508063,38.7676827,-75.2309464
100030112052,39.8248633,-75.5198096
100050504052,38.6404312,-75.6277705
100030112022,39.8336394,-75.5319281
100030112021,39.830738,-75.5106502
100030112011,39.8154014,-75.5411002
100030112012,39.8240661,-75.5418045
100030121003,39.7410033,-75.6202474
100030122001,39.7483695,-75.5860359
100050510142,38.6617692,-75.126922
100050511021,38.7118964,-75.0779176
100030117001,39.7999181,-75.5550415
100030127003,39.7067431,-75.6318888
100030127004,39.7194078,-75.6310906
100030148142,39.6202805,-75.7562591
100030160002,39.6889037,-75.5723237
100030166133,39.453951,-75.7132996
100030137002,39.6931276,-75.7130015
100030159002,39.6879763,-75.5627177
100030159003,39.6817185,-75.5629218
